Company,Location,Date,Rocket,Mission,RocketStatus,MissionStatus,Latitude,Longitude,Country
US Navy,Douglas F4D Skyray; Naval Air Station Point Mugu; California; USA,1958-08-12,NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,Failure,34.1203,-119.1201, USA
US Air Force,SLC-17A; Cape Canaveral AFS; Florida; USA,1958-08-17,Thor-DM 18 Able I,Pioneer 0,Retired,Failure,28.3922,-80.6077, USA
US Navy,Douglas F4D Skyray; Naval Air Station Point Mugu; California; USA,1958-08-22,NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,Failure,34.1203,-119.1201, USA
AMBA,LC-5; Cape Canaveral AFS; Florida; USA,1958-08-24,Juno I,Explorer 5,Retired,Failure,28.3922,-80.6077, USA
US Navy,Douglas F4D Skyray; Naval Air Station Point Mugu; California; USA,1958-08-25,NOTS-EV-1 Pilot II,Pilot-4 (R1),Retired,Failure,34.1203,-119.1201, USA
US Navy,Douglas F4D Skyray; Naval Air Station Point Mugu; California; USA,1958-08-26,NOTS-EV-1 Pilot II,Pilot-5 (R2),Retired,Failure,34.1203,-119.1201, USA
US Navy,Douglas F4D Skyray; Naval Air Station Point Mugu; California; USA,1958-08-29,NOTS-EV-1 Pilot II,Pilot-6 (R3,Retired,Failure,34.1203,-119.1201, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1958-09-23,Vostok,E-1 nâ Â­1 (Luna-1),Retired,Failure,45.965,63.305, Kazakhstan
US Navy,LC-18A; Cape Canaveral AFS; Florida; USA,1958-09-26,Vanguard,Vanguard SLV-3,Retired,Failure,28.3922,-80.6077, USA
NASA,SLC-17A; Cape Canaveral AFS; Florida; USA,1958-10-11,Thor-DM 18 Able I,Pioneer 1,Retired,Partial Failure,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1958-10-11,Vostok,E-1 nâ Â­2 (Luna-1),Retired,Failure,45.965,63.305, Kazakhstan
AMBA,LC-5; Cape Canaveral AFS; Florida; USA,1958-10-23,Juno I,Beacon 1,Retired,Failure,28.3922,-80.6077, USA
NASA,SLC-17A; Cape Canaveral AFS; Florida; USA,1958-11-08,Thor-DM 18 Able I,Pioneer 2,Retired,Failure,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1958-12-04,Vostok,E-1 nâ Â­3 (Luna-1),Retired,Failure,45.965,63.305, Kazakhstan
AMBA,LC-5; Cape Canaveral AFS; Florida; USA,1958-12-06,Juno II,Pioneer 3,Retired,Partial Failure,28.3922,-80.6077, USA
US Air Force,LC-11; Cape Canaveral AFS; Florida; USA,1958-12-18,SM-65B Atlas,SCORE,Retired,Success,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1959-01-02,Vostok,Luna-1,Retired,Partial Failure,45.965,63.305, Kazakhstan
US Navy,LC-18A; Cape Canaveral AFS; Florida; USA,1959-02-17,Vanguard,Vanguard 2,Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1959-02-28,Thor-DM18 Agena-A,Discoverer 1,Retired,Failure,34.742,-120.5724, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1959-04-13,Thor-DM18 Agena-A,Discoverer 2,Retired,Success,34.742,-120.5724, USA
US Navy,LC-18A; Cape Canaveral AFS; Florida; USA,1959-04-14,Vanguard,Vanguard SLV-5,Retired,Failure,28.3922,-80.6077, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1959-06-03,Thor-DM18 Agena-A,Discoverer 3,Retired,Failure,34.742,-120.5724, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1959-06-18,Vostok,E-1A nâ Â­1 (Luna-2),Retired,Failure,45.965,63.305, Kazakhstan
US Navy,LC-18A; Cape Canaveral AFS; Florida; USA,1959-06-22,Vanguard,Vanguard SLV-6,Retired,Failure,28.3922,-80.6077, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1959-06-25,Thor-DM18 Agena-A,Discoverer 4,Retired,Failure,34.742,-120.5724, USA
US Air Force,SLC-17A; Cape Canaveral AFS; Florida; USA,1959-08-07,Thor DM-18 Able-III,Explorer 6,Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1959-08-13,Thor-DM18 Agena-A,Discoverer 5,Retired,Success,34.742,-120.5724, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1959-08-19,Thor-DM18 Agena-A,Discoverer 6,Retired,Success,34.742,-120.5724, USA
NASA,LC-14; Cape Canaveral AFS; Florida; USA,1959-09-09,Atlas-D Mercury,Big Joe 1,Retired,Partial Failure,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1959-09-12,Vostok,Luna-2,Retired,Success,45.965,63.305, Kazakhstan
US Air Force,SLC-17A; Cape Canaveral AFS; Florida; USA,1959-09-17,Thor DM-18 Able-II,Transit 1A,Retired,Failure,28.3922,-80.6077, USA
US Navy,LC-18A; Cape Canaveral AFS; Florida; USA,1959-09-18,Vanguard,Vanguard 3,Retired,Partial Failure,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1959-10-04,Vostok,Luna-3,Retired,Success,45.965,63.305, Kazakhstan
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1959-11-07,Thor-DM18 Agena-A,Discoverer 7,Retired,Success,34.742,-120.5724, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1959-11-20,Thor-DM18 Agena-A,Discoverer 8,Retired,Failure,34.742,-120.5724, USA
General Dynamics,LC-14; Cape Canaveral AFS; Florida; USA,1959-11-26,Atlas-D Able,Pioneer P-3,Retired,Failure,28.3922,-80.6077, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1960-02-04,Thor-DM18 Agena-A,Discoverer 9,Retired,Failure,34.742,-120.5724, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1960-02-19,Thor-DM18 Agena-A,Discoverer 10,Retired,Failure,34.742,-120.5724, USA
General Dynamics,LC-14; Cape Canaveral AFS; Florida; USA,1960-02-26,Atlas-LV3 Agena-A,Midas 1,Retired,Failure,28.3922,-80.6077, USA
US Air Force,SLC-17A; Cape Canaveral AFS; Florida; USA,1960-03-11,Thor DM-18 Able-IV,Pioneer 5,Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-17A; Cape Canaveral AFS; Florida; USA,1960-04-01,Thor DM-18 Able-II,TIROS-1,Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-17B; Cape Canaveral AFS; Florida; USA,1960-04-13,Thor-DM21 Ablestar,Transit 1B,Retired,Success,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1960-04-15,Vostok,E-3 nâ Â­2 (Luna-3),Retired,Failure,45.965,63.305, Kazakhstan
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1960-04-15,Thor-DM18 Agena-A,Discoverer 11,Retired,Success,34.742,-120.5724, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1960-04-16,Vostok,E-3 nâ Â­3 (Luna-3),Retired,Failure,45.965,63.305, Kazakhstan
US Air Force,SLC-17A; Cape Canaveral AFS; Florida; USA,1960-05-13,Thor DM-19 Delta,Echo 1,Retired,Failure,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1960-05-15,Vostok,Korabl-Sputnik 1,Retired,Success,45.965,63.305, Kazakhstan
General Dynamics,LC-14; Cape Canaveral AFS; Florida; USA,1960-05-24,Atlas-LV3 Agena-A,Midas 2,Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-17B; Cape Canaveral AFS; Florida; USA,1960-06-22,Thor-DM21 Ablestar,Transit 2A & GRAB-1,Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1960-06-29,Thor-DM18 Agena-A,Discoverer 12,Retired,Failure,34.742,-120.5724, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1960-07-28,Vostok,1K nâ Â­2 (Korabl-Sputnik 2),Retired,Failure,45.965,63.305, Kazakhstan
NASA,LC-14; Cape Canaveral AFS; Florida; USA,1960-07-29,Atlas-D Mercury,Mercury-Atlas 1 (MA-1),Retired,Failure,28.3922,-80.6077, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1960-08-10,Thor-DM18 Agena-A,Discoverer 13,Retired,Success,34.742,-120.5724, USA
US Air Force,SLC-17A; Cape Canaveral AFS; Florida; USA,1960-08-12,Thor DM-19 Delta,Echo 1A,Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1960-08-18,Thor-DM18 Agena-A,Discoverer 14,Retired,Success,34.742,-120.5724, USA
US Air Force,SLC-17B; Cape Canaveral AFS; Florida; USA,1960-08-18,Thor-DM21 Ablestar,Courier 1A,Retired,Failure,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1960-08-19,Vostok,Korabl-Sputnik 2,Retired,Success,45.965,63.305, Kazakhstan
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1960-09-13,Thor-DM18 Agena-A,Discoverer 15,Retired,Success,34.742,-120.5724, USA
General Dynamics,LC-12; Cape Canaveral AFS; Florida; USA,1960-09-25,Atlas-D Able,Pioneer P-30,Retired,Failure,28.3922,-80.6077, USA
US Air Force,SLC-17B; Cape Canaveral AFS; Florida; USA,1960-10-04,Thor-DM21 Ablestar,Courier 1B,Retired,Success,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1960-10-10,Molniya,1M nâ Â­1 (Marsnik 1),Retired,Failure,45.965,63.305, Kazakhstan
General Dynamics,SLC-3W; Vandenberg AFB; California; USA,1960-10-11,Atlas-LV3 Agena-A,Samos 1,Retired,Failure,34.742,-120.5724, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1960-10-14,Molniya,1M nâ Â­2 (Marsnik 2),Retired,Failure,45.965,63.305, Kazakhstan
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1960-10-26,Thor DM-21 Agena-B,Discoverer 16,Retired,Failure,34.742,-120.5724, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1960-11-12,Thor DM-21 Agena-B,Discoverer 17,Retired,Success,34.742,-120.5724, USA
NASA,LC-5; Cape Canaveral AFS; Florida; USA,1960-11-21,Mercury-Redstone,Mercury-Redstone 1 (MR-1),Retired,Failure,28.3922,-80.6077, USA
US Air Force,SLC-17A; Cape Canaveral AFS; Florida; USA,1960-11-23,Thor DM-19 Delta,TIROS-2,Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-17B; Cape Canaveral AFS; Florida; USA,1960-11-30,Thor-DM21 Ablestar,Transit 3A & GRAB-2,Retired,Failure,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1960-12-01,Vostok,Korabl-Sputnik 3,Retired,Success,45.965,63.305, Kazakhstan
NASA,LA-3; Wallops Flight Facility; Virginia; USA,1960-12-04,Scout X-1,Explorer (S-56),Retired,Failure,37.9402,-75.4664, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1960-12-07,Thor DM-21 Agena-B,Discoverer 18,Retired,Success,34.742,-120.5724, USA
General Dynamics,LC-12; Cape Canaveral AFS; Florida; USA,1960-12-15,Atlas-D Able,Pioneer P-31,Retired,Failure,28.3922,-80.6077, USA
NASA,LC-5; Cape Canaveral AFS; Florida; USA,1960-12-19,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1960-12-20,Thor DM-21 Agena-B,Discoverer 19,Retired,Success,34.742,-120.5724, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1960-12-22,Vostok,1K nâ Â­5 (Korabl-Sputnik 3),Retired,Failure,45.965,63.305, Kazakhstan
NASA,LC-5; Cape Canaveral AFS; Florida; USA,1961-01-31,Mercury-Redstone,Mercury-Redstone 2 (MR-2),Retired,Success,28.3922,-80.6077, USA
General Dynamics,SLC-3W; Vandenberg AFB; California; USA,1961-01-31,Atlas-LV3 Agena-A,Samos 2,Retired,Success,34.742,-120.5724, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1961-02-04,Molniya,1VA nâ Â­1 (Venera 1),Retired,Failure,45.965,63.305, Kazakhstan
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1961-02-12,Molniya,Venera 1,Retired,Success,45.965,63.305, Kazakhstan
NASA,LA-3; Wallops Flight Facility; Virginia; USA,1961-02-16,Scout X-1,Explorer 9 (S-56A),Retired,Success,37.9402,-75.4664, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1961-02-17,Thor DM-21 Agena-B,Discoverer 20,Retired,Success,34.742,-120.5724, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1961-02-18,Thor DM-21 Agena-B,Discoverer 21,Retired,Success,34.742,-120.5724, USA
NASA,LC-14; Cape Canaveral AFS; Florida; USA,1961-02-21,Atlas-D Mercury,Mercury-Atlas 2 (MA-2),Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-17B; Cape Canaveral AFS; Florida; USA,1961-02-22,Thor-DM21 Ablestar,Transit 3B & Lofti 1,Retired,Success,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1961-03-09,Vostok,Korabl-Sputnik 4,Retired,Success,45.965,63.305, Kazakhstan
NASA,LC-5; Cape Canaveral AFS; Florida; USA,1961-03-24,Mercury-Redstone,Mercury-Redstone BD (MR-BD),Retired,Success,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1961-03-25,Vostok,Korabl-Sputnik 5,Retired,Success,45.965,63.305, Kazakhstan
US Air Force,SLC-17A; Cape Canaveral AFS; Florida; USA,1961-03-25,Thor DM-19 Delta,Explorer 10,Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1961-03-30,Thor DM-21 Agena-B,Discoverer 22,Retired,Failure,34.742,-120.5724, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1961-04-08,Thor DM-21 Agena-B,Discoverer 23,Retired,Success,34.742,-120.5724, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1961-04-12,Vostok,Vostok 1,Retired,Success,45.965,63.305, Kazakhstan
NASA,LC-14; Cape Canaveral AFS; Florida; USA,1961-04-25,Atlas-D Mercury,Mercury-Atlas 3 (MA-3),Retired,Failure,28.3922,-80.6077, USA
NASA,LC-5; Cape Canaveral AFS; Florida; USA,1961-05-05,Mercury-Redstone,Freedom 7 (MR-3),Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1961-06-08,Thor DM-21 Agena-B,Discoverer 24,Retired,Failure,34.742,-120.5724, USA
US Air Force,SLC-2E (75-1-1); Vandenberg AFB; California; USA,1961-06-16,Thor DM-21 Agena-B,Discoverer 25,Retired,Success,34.742,-120.5724, USA
US Air Force,SLC-17B; Cape Canaveral AFS; Florida; USA,1961-06-29,Thor-DM21 Ablestar,Transit 4A; Injun 1 & GRAB-3,Retired,Success,28.3922,-80.6077, USA
NASA,LA-3; Wallops Flight Facility; Virginia; USA,1961-06-30,Scout X-1,Explorer (S-55),Retired,Failure,37.9402,-75.4664, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1961-07-07,Thor DM-21 Agena-B,Discoverer 26,Retired,Success,34.742,-120.5724, USA
US Air Force,SLC-17A; Cape Canaveral AFS; Florida; USA,1961-07-12,Thor DM-19 Delta,TIROS-3,Retired,Success,28.3922,-80.6077, USA
General Dynamics,SLC-3E; Vandenberg AFB; California; USA,1961-07-12,Atlas-LV3 Agena-B,Midas 3,Retired,Success,34.742,-120.5724, USA
NASA,LC-5; Cape Canaveral AFS; Florida; USA,1961-07-21,Mercury-Redstone,Liberty Bell 7 (MR-4),Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1961-07-21,Thor DM-21 Agena-B,Discoverer 27,Retired,Failure,34.742,-120.5724, USA
US Air Force,SLC-2E (75-1-1); Vandenberg AFB; California; USA,1961-08-04,Thor DM-21 Agena-B,Discoverer 28,Retired,Failure,34.742,-120.5724, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1961-08-06,Vostok,Vostok 2,Retired,Success,45.965,63.305, Kazakhstan
US Air Force,SLC-17A; Cape Canaveral AFS; Florida; USA,1961-08-16,Thor DM-19 Delta,Explorer 12,Retired,Success,28.3922,-80.6077, USA
General Dynamics,LC-12; Cape Canaveral AFS; Florida; USA,1961-08-23,Atlas-LV3 Agena-B,Ranger 1,Retired,Failure,28.3922,-80.6077, USA
NASA,LA-3; Wallops Flight Facility; Virginia; USA,1961-08-25,Scout X-1,Explorer 13,Retired,Partial Failure,37.9402,-75.4664, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1961-08-30,Thor DM-21 Agena-B,Discoverer 29,Retired,Success,34.742,-120.5724, USA
General Dynamics,SLC-3W; Vandenberg AFB; California; USA,1961-09-09,Atlas-LV3 Agena-B,Samos 3,Retired,Failure,34.742,-120.5724, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1961-09-12,Thor DM-21 Agena-B,Discoverer 30,Retired,Success,34.742,-120.5724, USA
NASA,LC-14; Cape Canaveral AFS; Florida; USA,1961-09-13,Atlas-D Mercury,Mercury-Atlas 4 (MA-4),Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-2E (75-1-1); Vandenberg AFB; California; USA,1961-09-17,Thor DM-21 Agena-B,Discoverer 31,Retired,Success,34.742,-120.5724, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1961-10-13,Thor DM-21 Agena-B,Discoverer 32,Retired,Success,34.742,-120.5724, USA
General Dynamics,SLC-3E; Vandenberg AFB; California; USA,1961-10-21,Atlas-LV3 Agena-B,Midas 4,Retired,Partial Failure,34.742,-120.5724, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1961-10-23,Thor DM-21 Agena-B,Discoverer 33,Retired,Failure,34.742,-120.5724, USA
RVSN USSR,Mayak-2; Kapustin Yar; Russia,1961-10-27,Cosmos-2I (63S1),DS-1 1,Retired,Failure,48.574,45.728, Russia
NASA,LC-18B; Cape Canaveral AFS; Florida; USA,1961-11-01,Blue Scout II,Mercury-Scout 1 (MS-1),Retired,Failure,28.3922,-80.6077, USA
US Air Force,SLC-2E (75-1-1); Vandenberg AFB; California; USA,1961-11-05,Thor DM-21 Agena-B,Discoverer 34,Retired,Failure,34.742,-120.5724, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1961-11-15,Thor DM-21 Agena-B,Discoverer 35,Retired,Success,34.742,-120.5724, USA
US Air Force,SLC-17B; Cape Canaveral AFS; Florida; USA,1961-11-15,Thor-DM21 Ablestar,Transit 4B & TRAAC,Retired,Success,28.3922,-80.6077, USA
General Dynamics,LC-12; Cape Canaveral AFS; Florida; USA,1961-11-18,Atlas-LV3 Agena-B,Ranger 2,Retired,Failure,28.3922,-80.6077, USA
General Dynamics,SLC-3W; Vandenberg AFB; California; USA,1961-11-22,Atlas-LV3 Agena-B,Samos 4,Retired,Failure,34.742,-120.5724, USA
NASA,LC-14; Cape Canaveral AFS; Florida; USA,1961-11-29,Atlas-D Mercury,Mercury-Atlas 5 (MA-5),Retired,Success,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1961-12-11,Vostok,Zenit-2 nâ Â­1,Retired,Failure,45.965,63.305, Kazakhstan
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1961-12-12,Thor DM-21 Agena-B,Discoverer 36 & Oscar 1,Retired,Success,34.742,-120.5724, USA
RVSN USSR,Mayak-2; Kapustin Yar; Russia,1961-12-21,Cosmos-2I (63S1),DS-1 2,Retired,Failure,48.574,45.728, Russia
General Dynamics,SLC-3E; Vandenberg AFB; California; USA,1961-12-22,Atlas-LV3 Agena-B,Samos 5,Retired,Partial Failure,34.742,-120.5724, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1962-01-13,Thor DM-21 Agena-B,Discoverer 37,Retired,Failure,34.742,-120.5724, USA
US Air Force,SLC-17B; Cape Canaveral AFS; Florida; USA,1962-01-24,Thor-DM21 Ablestar,LOFTI-2A & Others,Retired,Failure,28.3922,-80.6077, USA
General Dynamics,LC-12; Cape Canaveral AFS; Florida; USA,1962-01-26,Atlas-LV3 Agena-B,Ranger 3,Retired,Partial Failure,28.3922,-80.6077, USA
US Air Force,SLC-17A; Cape Canaveral AFS; Florida; USA,1962-02-08,Thor DM-19 Delta,TIROS-4,Retired,Success,28.3922,-80.6077, USA
NASA,LC-14; Cape Canaveral AFS; Florida; USA,1962-02-20,Atlas-D Mercury,Friendship 7 (MA-6),Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1962-02-21,Thor DM-21 Agena-B,FTV 2301,Retired,Partial Failure,34.742,-120.5724, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1962-02-27,Thor DM-21 Agena-B,Discoverer 38,Retired,Success,34.742,-120.5724, USA
US Air Force,SLC-17A; Cape Canaveral AFS; Florida; USA,1962-03-07,Thor DM-19 Delta,OSO-1,Retired,Success,28.3922,-80.6077, USA
General Dynamics,SLC-3E; Vandenberg AFB; California; USA,1962-03-07,Atlas-LV3 Agena-B,Samos 6,Retired,Success,34.742,-120.5724, USA
RVSN USSR,Mayak-2; Kapustin Yar; Russia,1962-03-16,Cosmos-2I (63S1),Cosmos 1,Retired,Success,48.574,45.728, Russia
RVSN USSR,Mayak-2; Kapustin Yar; Russia,1962-04-06,Cosmos-2I (63S1),Cosmos 2,Retired,Success,48.574,45.728, Russia
General Dynamics,SLC-3E; Vandenberg AFB; California; USA,1962-04-09,Atlas-LV3 Agena-B,Midas 5,Retired,Success,34.742,-120.5724, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1962-04-18,Thor DM-21 Agena-B,Discoverer 39,Retired,Success,34.742,-120.5724, USA
General Dynamics,LC-12; Cape Canaveral AFS; Florida; USA,1962-04-23,Atlas-LV3 Agena-B,Ranger 4,Retired,Success,28.3922,-80.6077, USA
RVSN USSR,Mayak-2; Kapustin Yar; Russia,1962-04-24,Cosmos-2I (63S1),Cosmos 3,Retired,Success,48.574,45.728, Russia
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1962-04-26,Vostok,Cosmos 4,Retired,Success,45.965,63.305, Kazakhstan
NASA,LA-3; Wallops Flight Facility; Virginia; USA,1962-04-26,Scout X-2,Solrad 4B,Retired,Failure,37.9402,-75.4664, USA
US Air Force,SLC-17A; Cape Canaveral AFS; Florida; USA,1962-04-26,Thor DM-19 Delta,Ariel 1,Retired,Success,28.3922,-80.6077, USA
General Dynamics,SLC-3W; Vandenberg AFB; California; USA,1962-04-26,Atlas-LV3 Agena-B,Samos 7,Retired,Success,34.742,-120.5724, USA
US Air Force,SLC-1W (75-3-4); Vandenberg AFB; California; USA,1962-04-29,Thor DM-21 Agena-B,FTV 1125,Retired,Success,34.742,-120.5724, USA
General Dynamics,SLC-36A; Cape Canaveral AFS; Florida; USA,1962-05-08,Atlas-LV3C Centaur-A,AC-1 (Test Vehicle),Retired,Failure,28.3922,-80.6077, USA
US Air Force,SLC-17B; Cape Canaveral AFS; Florida; USA,1962-05-10,Thor-DM21 Ablestar,ANNA 1A,Retired,Failure,28.3922,-80.6077, USA
US Air Force,SLC-1E (75-3-5); Vandenberg AFB; California; USA,1962-05-15,Thor DM-21 Agena-B,FTV 1126,Retired,Success,34.742,-120.5724, USA
NASA,LC-14; Cape Canaveral AFS; Florida; USA,1962-05-24,Atlas-D Mercury,Aurora 7 (MA-7),Retired,Success,28.3922,-80.6077, USA
US Air Force,SLC-5; Vandenberg AFB; California; USA,1962-05-24,Scout X-2M,DSAP-1 F1 (Program 35),Retired,Failure,34.742,-120.5724, USA
RVSN USSR,Mayak-2; Kapustin Yar; Russia,1962-05-28,Cosmos-2I (63S1),Cosmos 5,Retired,Success,48.574,45.728, Russia
US Air Force,SLC-2E (75-1-1); Vandenberg AFB; California; USA,1962-05-30,Thor DM-21 Agena-B,FTV 1128,Retired,Success,34.742,-120.5724, USA
